Name,id,Health Labels,Ingredients_with_weights,Ingredients_only,raw_ingr
Blueberry Almond Pancakes,e54237,"['VEGETARIAN', 'PESCATARIAN', 'PEANUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'KOSHER']","['14.11 grams all-purpose flour', '1.21 grams baking powder', '0.31 grams salt', '0.94 grams sugar', '22.96 grams milk', '3.76 grams egg', '3.21 grams butter', '0.32 grams vanilla extract', '0.0 grams vanilla bean', '11.14 grams blueberries', '5.38 grams almonds', '11.14 grams blueberries', '25.52 grams honey']","['blueberries', 'honey', 'sugar', 'vanilla bean', 'all-purpose flour', 'baking powder', 'egg', 'butter', 'almonds', 'salt', 'vanilla extract', 'milk']","[{'retainedWeight': 14.113889790171948, 'exactFood': 'all-purpose flour'}, {'retainedWeight': 1.2119126699827645, 'exactFood': 'baking powder'}, {'retainedWeight': 0.3070099301293587, 'exactFood': 'salt'}, {'retainedWeight': 0.9409259859955579, 'exactFood': 'sugar'}, {'retainedWeight': 22.9585940586797, 'exactFood': 'milk'}, {'retainedWeight': 3.7637039440458526, 'exactFood': 'egg'}, {'retainedWeight': 3.2066757603270664, 'exactFood': 'butter'}, {'retainedWeight': 0.3161511312998517, 'exactFood': 'vanilla extract'}, {'retainedWeight': 0.0, 'exactFood': 'vanilla bean'}, {'retainedWeight': 11.140563674375723, 'exactFood': 'blueberries'}, {'retainedWeight': 5.382096639985569, 'exactFood': 'almonds'}, {'retainedWeight': 11.140563674375723, 'exactFood': 'blueberries'}, {'retainedWeight': 25.517912740630884, 'exactFood': 'honey'}]"
Brunch-style Portobello Mushrooms,e15872,"['SUGAR_CONSCIOUS', 'KETO_FRIENDLY', 'GLUTEN_FREE', 'WHEAT_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_OIL_ADDED', 'NO_SUGAR_ADDED', 'SULPHITE_FREE']","['36.68 grams portobello mushrooms', '43.33 grams spinach', '13.14 grams eggs', '2.06 grams Gouda cheese', '4.32 grams cooked bacon', '0.17 grams Salt', '0.3 grams pepper']","['portobello mushrooms', 'Gouda cheese', 'spinach', 'eggs', 'pepper', 'cooked bacon', 'Salt']","[{'retainedWeight': 36.68127476386949, 'exactFood': 'portobello mushrooms'}, {'retainedWeight': 43.32902696553321, 'exactFood': 'spinach'}, {'retainedWeight': 13.144123457053233, 'exactFood': 'eggs'}, {'retainedWeight': 2.0633217054676587, 'exactFood': 'Gouda cheese'}, {'retainedWeight': 4.317691716997137, 'exactFood': 'cooked bacon'}, {'retainedWeight': 0.16595507525252579, 'exactFood': 'Salt'}, {'retainedWeight': 0.29860631582676217, 'exactFood': 'pepper'}]"
Cherry Pie-in-a-jar,e17770,"['VEGETARIAN', 'PESCATARIAN', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'KOSHER']","['53.28 grams cherries', '4.48 grams lemon', '15.44 grams sugar', '1.85 grams cornstarch', '0.05 grams ground cinnamon', '0.32 grams almond extract', '17.68 grams Pie crust', '4.39 grams butter', '1.33 grams butter', '1.17 grams Sugar']","['cornstarch', 'cherries', 'sugar', 'lemon', 'Sugar', 'butter', 'almond extract', 'ground cinnamon', 'Pie crust']","[{'retainedWeight': 53.28292963819422, 'exactFood': 'cherries'}, {'retainedWeight': 4.478854955094587, 'exactFood': 'lemon'}, {'retainedWeight': 15.444327431360644, 'exactFood': 'sugar'}, {'retainedWeight': 1.8533192917319434, 'exactFood': 'cornstarch'}, {'retainedWeight': 0.050194064151922096, 'exactFood': 'ground cinnamon'}, {'retainedWeight': 0.3243308760585735, 'exactFood': 'almond extract'}, {'retainedWeight': 17.683754908907936, 'exactFood': 'Pie crust'}, {'retainedWeight': 4.386188990506422, 'exactFood': 'butter'}, {'retainedWeight': 1.326053042121685, 'exactFood': 'butter'}, {'retainedWeight': 1.170046801872075, 'exactFood': 'Sugar'}]"
Grilled Halloumi Salad,e68697,"['VEGETARIAN', 'PESCATARIAN', 'MEDITERRANEAN', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE', 'KOSHER']","['22.53 grams Halloumi', '4.34 grams lemon juice', '5.12 grams olive oil', '0.56 grams garlic', '0.13 grams dried oregano', '0.04 grams pepper', '21.34 grams baby greens', '28.64 grams peaches', '17.29 grams cherry tomatoes']","['Halloumi', 'peaches', 'baby greens', 'dried oregano', 'cherry tomatoes', 'pepper', 'olive oil', 'garlic', 'lemon juice']","[{'retainedWeight': 22.530237086791573, 'exactFood': 'Halloumi'}, {'retainedWeight': 4.339206028775968, 'exactFood': 'lemon juice'}, {'retainedWeight': 5.121685804456881, 'exactFood': 'olive oil'}, {'retainedWeight': 0.560986394622008, 'exactFood': 'garlic'}, {'retainedWeight': 0.1327844467754804, 'exactFood': 'dried oregano'}, {'retainedWeight': 0.043629175372037, 'exactFood': 'pepper'}, {'retainedWeight': 21.34035751857034, 'exactFood': 'baby greens'}, {'retainedWeight': 28.641472036534747, 'exactFood': 'peaches'}, {'retainedWeight': 17.289641508100967, 'exactFood': 'cherry tomatoes'}]"
Chocolate Peppermint Cupcakes,e47244,"['LOW_POTASSIUM', 'KIDNEY_FRIENDLY', 'VEGETARIAN', 'PESCATARIAN', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'KOSHER']","['8.29 grams all-purpose flour', '7.29 grams light-brown sugar', '4.42 grams granulated sugar', '1.9 grams cocoa', '0.3 grams baking powder', '0.15 grams baking soda', '0.18 grams salt', '4.95 grams vegetable oil', '5.39 grams milk', '3.31 grams egg', '0.14 grams vanilla extract', '0.02 grams peppermint', '5.24 grams water', '3.81 grams sour cream', '5.73 grams candy', '4.95 grams chocolate chips', '2.98 grams heavy cream', '5.65 grams salted butter', '11.27 grams cream cheese', '0.14 grams vanilla extract', '0.02 grams peppermint', '23.86 grams powdered sugar']","['baking soda', 'candy', 'powdered sugar', 'baking powder', 'water', 'sour cream', 'cream cheese', 'cocoa', 'all-purpose flour', 'granulated sugar', 'vanilla extract', 'egg', 'heavy cream', 'light-brown sugar', 'salted butter', 'chocolate chips', 'vegetable oil', 'salt', 'peppermint', 'milk']","[{'retainedWeight': 8.285189844168299, 'exactFood': 'all-purpose flour'}, {'retainedWeight': 7.290967062868104, 'exactFood': 'light-brown sugar'}, {'retainedWeight': 4.41876791688976, 'exactFood': 'granulated sugar'}, {'retainedWeight': 1.9000702042625965, 'exactFood': 'cocoa'}, {'retainedWeight': 0.3048949862653934, 'exactFood': 'baking powder'}, {'retainedWeight': 0.1524474931326967, 'exactFood': 'baking soda'}, {'retainedWeight': 0.18464117328670665, 'exactFood': 'salt'}, {'retainedWeight': 4.949020067000204, 'exactFood': 'vegetable oil'}, {'retainedWeight': 5.390896858605506, 'exactFood': 'milk'}, {'retainedWeight': 3.3140759376673197, 'exactFood': 'egg'}, {'retainedWeight': 0.13919118938202743, 'exactFood': 'vanilla extract'}, {'retainedWeight': 0.017675071668754358, 'exactFood': 'peppermint'}, {'retainedWeight': 5.236239981514365, 'exactFood': 'water'}, {'retainedWeight': 3.811187328317418, 'exactFood': 'sour cream'}, {'retainedWeight': 5.7333513721644636, 'exactFood': 'candy'}, {'retainedWeight': 4.94902006691653, 'exactFood': 'chocolate chips'}, {'retainedWeight': 2.982668343900588, 'exactFood': 'heavy cream'}, {'retainedWeight': 5.647185397785112, 'exactFood': 'salted butter'}, {'retainedWeight': 11.274296691948688, 'exactFood': 'cream cheese'}, {'retainedWeight': 0.13919118938202743, 'exactFood': 'vanilla extract'}, {'retainedWeight': 0.017675071668754358, 'exactFood': 'peppermint'}, {'retainedWeight': 23.861346751204703, 'exactFood': 'powdered sugar'}]"
Tropical Green Smoothie,e55114,"['LOW_FAT_ABS', 'PLANT_BASED', 'VEGAN', 'VEGETARIAN', 'PESCATARIAN', 'PALEO', 'SPECIFIC_CARBS', 'MEDITERRANEAN', 'DAIRY_FREE', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'MILK_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_OIL_ADDED', 'NO_SUGAR_ADDED', 'SULPHITE_FREE', 'KOSHER']","['32.5 grams mango', '29.8 grams watermelon', '2.42 grams kale', '12.0 grams freshly squeezed orange juice', '23.22 grams coconut water', '0.06 grams black pepper', '0.01 grams mint leaves']","['coconut water', 'freshly squeezed orange juice', 'kale', 'mint leaves', 'black pepper', 'mango', 'watermelon']","[{'retainedWeight': 32.50380904012189, 'exactFood': 'mango'}, {'retainedWeight': 29.795158286778396, 'exactFood': 'watermelon'}, {'retainedWeight': 2.4184381726281163, 'exactFood': 'kale'}, {'retainedWeight': 11.995453336235459, 'exactFood': 'freshly squeezed orange juice'}, {'retainedWeight': 23.217006457229918, 'exactFood': 'coconut water'}, {'retainedWeight': 0.055624077970446675, 'exactFood': 'black pepper'}, {'retainedWeight': 0.014510629035768698, 'exactFood': 'mint leaves'}]"
Easy Bisquick Chicken Pot Pie,e75463,"['KIDNEY_FRIENDLY', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'SULPHITE_FREE']","['16.25 grams cooked chicken', '17.6 grams frozen vegetables', '32.9 grams cream of chicken soup', '13.93 grams baking mix', '14.33 grams nonfat milk', '4.99 grams egg']","['baking mix', 'egg', 'nonfat milk', 'frozen vegetables', 'cooked chicken', 'cream of chicken soup']","[{'retainedWeight': 16.247672125051967, 'exactFood': 'cooked chicken'}, {'retainedWeight': 17.60164480213963, 'exactFood': 'frozen vegetables'}, {'retainedWeight': 32.900982616898474, 'exactFood': 'cream of chicken soup'}, {'retainedWeight': 13.926576107187401, 'exactFood': 'baking mix'}, {'retainedWeight': 14.3327679103137, 'exactFood': 'nonfat milk'}, {'retainedWeight': 4.990356438408819, 'exactFood': 'egg'}]"
Garlic And Herb Roasted Turkey,e20459,"['SUGAR_CONSCIOUS', 'KETO_FRIENDLY', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'NO_SUGAR_ADDED', 'SULPHITE_FREE']","['92.85 grams turkey', '1.94 grams butter', '0.92 grams Olive oil', '0.14 grams herbs', '0.99 grams lemon', '1.07 grams yellow onions', '0.68 grams celery', '0.85 grams garlic', '0.33 grams kosher salt', '0.24 grams black pepper']","['herbs', 'turkey', 'lemon', 'butter', 'celery', 'Olive oil', 'black pepper', 'kosher salt', 'garlic', 'yellow onions']","[{'retainedWeight': 92.85142844385749, 'exactFood': 'turkey'}, {'retainedWeight': 1.9361431513897647, 'exactFood': 'butter'}, {'retainedWeight': 0.921160618282355, 'exactFood': 'Olive oil'}, {'retainedWeight': 0.13817409274235326, 'exactFood': 'herbs'}, {'retainedWeight': 0.989394738155122, 'exactFood': 'lemon'}, {'retainedWeight': 1.066158123011985, 'exactFood': 'yellow onions'}, {'retainedWeight': 0.6823411987276704, 'exactFood': 'celery'}, {'retainedWeight': 0.8529264984095879, 'exactFood': 'garlic'}, {'retainedWeight': 0.3268654218626146, 'exactFood': 'kosher salt'}, {'retainedWeight': 0.23540771356104628, 'exactFood': 'black pepper'}]"
The World's Best Turkey,e04705,"['SUGAR_CONSCIOUS', 'KETO_FRIENDLY', 'GLUTEN_FREE', 'WHEAT_FREE', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE']","['84.08 grams turkey', '1.75 grams butter', '5.62 grams apples', '0.15 grams garlic powder', '0.42 grams salt', '0.3 grams pepper', '7.68 grams Champagne']","['Champagne', 'turkey', 'garlic powder', 'butter', 'pepper', 'salt', 'apples']","[{'retainedWeight': 84.07593836072697, 'exactFood': 'turkey'}, {'retainedWeight': 1.7531561439813077, 'exactFood': 'butter'}, {'retainedWeight': 5.622456708451066, 'exactFood': 'apples'}, {'retainedWeight': 0.14982920349443773, 'exactFood': 'garlic powder'}, {'retainedWeight': 0.4229445176026267, 'exactFood': 'salt'}, {'retainedWeight': 0.2978376534867319, 'exactFood': 'pepper'}, {'retainedWeight': 7.677837412256865, 'exactFood': 'Champagne'}]"
Shortbread Crust,e38044,"['LOW_POTASSIUM', 'KIDNEY_FRIENDLY', 'VEGETARIAN', 'PESCATARIAN', 'EGG_FREE', 'PEANUT_FREE', 'TREE_NUT_FREE', 'SOY_FREE', 'FISH_FREE', 'SHELLFISH_FREE', 'PORK_FREE', 'RED_MEAT_FREE', 'CRUSTACEAN_FREE', 'CELERY_FREE', 'MUSTARD_FREE', 'SESAME_FREE', 'LUPINE_FREE', 'MOLLUSK_FREE', 'ALCOHOL_FREE', 'KOSHER']","['42.27 grams salted butter', '46.55 grams all-purpose flour', '11.17 grams confectioner’s sugar']","['salted butter', 'all-purpose flour', 'confectioner’s sugar']","[{'retainedWeight': 42.27188081936685, 'exactFood': 'salted butter'}, {'retainedWeight': 46.554934823091244, 'exactFood': 'all-purpose flour'}, {'retainedWeight': 11.1731843575419, 'exactFood': 'confectioner’s sugar'}]"
